frame,player_id,bbox,confidence,position,match_similarity,track_length,view,original_tacticam_id
0,0,"[1423.9808349609375, 741.0142822265625, 1494.8370361328125, 911.8927001953125]",0.8263508677482605,"[0.7596354166666667, 0.7648148148148148]",0.0,1,broadcast,
0,1,"[1359.669677734375, 436.58990478515625, 1437.8201904296875, 525.861328125]",0.7145752310752869,"[0.728125, 0.4449074074074074]",0.0,1,broadcast,
0,2,"[1298.427734375, 263.8616943359375, 1335.673583984375, 315.2360534667969]",0.5605174899101257,"[0.6856770833333333, 0.2675925925925926]",0.0,1,broadcast,
1,0,"[1426.8314208984375, 675.1950073242188, 1499.227294921875, 829.3086547851562]",0.776533305644989,"[0.76171875, 0.6962962962962963]",0.7933842602533395,2,broadcast,
1,2,"[1279.641845703125, 260.1755065917969, 1332.8101806640625, 328.4617614746094]",0.3413422107696533,"[0.6799479166666667, 0.2722222222222222]",0.8795199616745554,2,broadcast,
2,0,"[1369.0709228515625, 663.1398315429688, 1455.1070556640625, 803.7271728515625]",0.7054756879806519,"[0.7354166666666667, 0.6787037037037037]",0.8439786002278545,3,broadcast,
2,1,"[1261.3355712890625, 473.19378662109375, 1325.70458984375, 574.8592529296875]",0.4699491858482361,"[0.6734375, 0.4847222222222222]",0.7957035392062959,2,broadcast,
2,2,"[914.9108276367188, 378.8562927246094, 999.799072265625, 467.1869201660156]",0.38390302658081055,"[0.4981770833333333, 0.3912037037037037]",0.787411483195827,3,broadcast,
2,3,"[1177.341552734375, 494.4264221191406, 1236.4061279296875, 563.3626708984375]",0.5709526538848877,"[0.6283854166666667, 0.48935185185185187]",0.0,1,broadcast,
3,2,"[927.495849609375, 363.6727600097656, 1014.024169921875, 466.9973449707031]",0.35483604669570923,"[0.50546875, 0.3837962962962963]",0.8707976677038636,4,broadcast,
3,0,"[167.11978149414062, 249.9261932373047, 215.65065002441406, 346.3953857421875]",0.3338239789009094,"[0.09947916666666666, 0.27546296296296297]",0.6484885775404342,4,broadcast,
4,2,"[944.3644409179688, 362.5769348144531, 1026.5269775390625, 437.4624938964844]",0.5605654120445251,"[0.5130208333333334, 0.3699074074074074]",0.8602174625407271,5,broadcast,
4,0,"[464.085205078125, 268.5114440917969, 524.5843505859375, 369.8755187988281]",0.5349785685539246,"[0.25729166666666664, 0.2949074074074074]",0.7225787189267401,5,broadcast,
5,3,"[1215.6357421875, 455.11260986328125, 1279.744873046875, 549.92333984375]",0.9126046299934387,"[0.6494791666666667, 0.4648148148148148]",0.8160212452771626,2,broadcast,
5,1,"[877.8240966796875, 575.2448120117188, 934.323486328125, 671.0701904296875]",0.8988498449325562,"[0.47161458333333334, 0.5768518518518518]",0.7687164846452663,3,broadcast,
5,0,"[815.6640014648438, 554.0873413085938, 863.6438598632812, 645.8484497070312]",0.8970860838890076,"[0.43697916666666664, 0.5550925925925926]",0.6168078814615379,6,broadcast,
5,2,"[1467.5059814453125, 417.7174987792969, 1515.7994384765625, 502.5224304199219]",0.8898849487304688,"[0.7765625, 0.425462962962963]",0.6913465164188161,6,broadcast,
5,4,"[1555.6259765625, 709.1171875, 1640.887939453125, 840.3419189453125]",0.927844226360321,"[0.83203125, 0.7171296296296297]",0.0,1,broadcast,
5,5,"[599.637939453125, 752.2280883789062, 659.7191162109375, 886.7128295898438]",0.9259259700775146,"[0.32760416666666664, 0.7583333333333333]",0.0,1,broadcast,
5,6,"[1650.28857421875, 440.8294372558594, 1712.750244140625, 520.6703491210938]",0.8965871930122375,"[0.8755208333333333, 0.4444444444444444]",0.0,1,broadcast,
5,7,"[825.6483764648438, 611.841796875, 900.5050048828125, 714.89794921875]",0.8886967897415161,"[0.44921875, 0.6134259259259259]",0.0,1,broadcast,
5,8,"[1730.4151611328125, 588.7321166992188, 1766.9241943359375, 693.5266723632812]",0.8747303485870361,"[0.9104166666666667, 0.5930555555555556]",0.0,1,broadcast,
5,9,"[1551.106201171875, 482.4698486328125, 1607.16357421875, 578.2603759765625]",0.8710684776306152,"[0.8223958333333333, 0.49074074074074076]",0.0,1,broadcast,
5,10,"[1568.5576171875, 556.5362548828125, 1625.7125244140625, 659.9010009765625]",0.8645504117012024,"[0.8315104166666667, 0.5625]",0.0,1,broadcast,
6,4,"[1550.5814208984375, 711.6661376953125, 1651.7296142578125, 833.1600952148438]",0.9321438074111938,"[0.83359375, 0.7148148148148148]",0.8862538105266603,2,broadcast,
6,7,"[833.8939819335938, 617.0408935546875, 899.9082641601562, 719.306396484375]",0.9251099824905396,"[0.4510416666666667, 0.6185185185185185]",0.8820603391434217,2,broadcast,
6,0,"[807.89208984375, 557.1013793945312, 867.7747192382812, 659.205322265625]",0.9221330881118774,"[0.4359375, 0.562962962962963]",0.9162951787560712,7,broadcast,
6,5,"[602.7879028320312, 751.703857421875, 668.592041015625, 879.9512939453125]",0.9215946793556213,"[0.3307291666666667, 0.7546296296296297]",0.8832613428588852,2,broadcast,
6,1,"[883.4573364257812, 575.0231323242188, 949.5750732421875, 671.1277465820312]",0.9196915626525879,"[0.47708333333333336, 0.5768518518518518]",0.8800809369037168,4,broadcast,
6,8,"[1736.511474609375, 589.5614624023438, 1783.398193359375, 694.928955078125]",0.9020271301269531,"[0.91640625, 0.5939814814814814]",0.880893713436044,2,broadcast,
6,6,"[1644.3753662109375, 444.16204833984375, 1711.5955810546875, 518.6068725585938]",0.8919769525527954,"[0.8736979166666666, 0.44537037037037036]",0.8874171852650797,2,broadcast,
6,10,"[1569.261474609375, 551.1194458007812, 1639.959228515625, 660.844482421875]",0.8801642656326294,"[0.8354166666666667, 0.5606481481481481]",0.8840467904187167,2,broadcast,
6,2,"[1469.6824951171875, 419.2850646972656, 1527.2945556640625, 504.2679748535156]",0.8801535367965698,"[0.7802083333333333, 0.4273148148148148]",0.9093209568953242,7,broadcast,
6,9,"[1551.2589111328125, 484.55853271484375, 1616.7103271484375, 575.7749633789062]",0.8687623739242554,"[0.8247395833333333, 0.49027777777777776]",0.8869203307624426,2,broadcast,
6,3,"[1468.5281982421875, 397.5958557128906, 1504.619384765625, 464.7056579589844]",0.3645305037498474,"[0.7739583333333333, 0.39861111111111114]",0.8249942271826016,3,broadcast,
6,11,"[1225.2584228515625, 458.9533996582031, 1273.369384765625, 551.1171264648438]",0.9058720469474792,"[0.6505208333333333, 0.4671296296296296]",0.0,1,broadcast,
7,0,"[803.277099609375, 560.9573364257812, 872.3228759765625, 663.333251953125]",0.9265096187591553,"[0.4361979166666667, 0.5662037037037037]",0.9539094256203967,8,broadcast,
7,3,"[1547.126708984375, 713.9412841796875, 1614.1802978515625, 831.9586181640625]",0.9180934429168701,"[0.8231770833333333, 0.7148148148148148]",0.6377386361751336,4,broadcast,
7,5,"[607.7583618164062, 751.0728149414062, 676.6554565429688, 874.6821899414062]",0.91718590259552,"[0.3341145833333333, 0.7523148148148148]",0.977117713686764,3,broadcast,
7,9,"[1650.3585205078125, 446.72113037109375, 1712.5316162109375, 525.145751953125]",0.9086260199546814,"[0.8755208333333333, 0.449537037037037]",0.884380092970464,3,broadcast,
7,1,"[891.0653686523438, 575.732177734375, 955.3152465820312, 669.404541015625]",0.9060583710670471,"[0.48072916666666665, 0.575925925925926]",0.8817125282574532,5,broadcast,
7,8,"[1742.3291015625, 590.7720947265625, 1796.219970703125, 695.881591796875]",0.9060087203979492,"[0.9213541666666667, 0.5949074074074074]",0.9821720641372422,3,broadcast,
7,7,"[838.7578125, 615.9549560546875, 893.982421875, 724.6913452148438]",0.9041571021080017,"[0.45078125, 0.6199074074074075]",0.9610190869877699,3,broadcast,
7,11,"[1235.468994140625, 462.4365234375, 1280.003173828125, 553.559326171875]",0.8957818150520325,"[0.6549479166666666, 0.4699074074074074]",0.882573112320458,2,broadcast,
7,4,"[1546.9632568359375, 713.8416137695312, 1645.6864013671875, 832.1607055664062]",0.8886674046516418,"[0.8309895833333333, 0.7152777777777778]",0.7864503570443973,3,broadcast,
7,10,"[1571.9168701171875, 555.6473999023438, 1649.3302001953125, 658.88720703125]",0.8768053650856018,"[0.8385416666666666, 0.5615740740740741]",0.9334865134107471,3,broadcast,
7,2,"[1474.60400390625, 424.3640441894531, 1532.4261474609375, 507.6257629394531]",0.8739987015724182,"[0.7828125, 0.4310185185185185]",0.9680459144893769,8,broadcast,
7,6,"[1547.651123046875, 487.24713134765625, 1595.692138671875, 581.8472900390625]",0.8709350824356079,"[0.8182291666666667, 0.49444444444444446]",0.89110787026042,3,broadcast,
7,12,"[0.0, 501.1798095703125, 31.71068000793457, 608.7562866210938]",0.40616005659103394,"[0.008072916666666667, 0.513425925925926]",0.0,1,broadcast,
8,8,"[1748.6019287109375, 591.6878051757812, 1809.2449951171875, 696.3682861328125]",0.9243481159210205,"[0.9263020833333333, 0.5958333333333333]",0.9816604044001138,4,broadcast,
8,5,"[613.4645385742188, 752.17529296875, 676.47216796875, 877.0631103515625]",0.9185623526573181,"[0.33567708333333335, 0.7541666666666667]",0.8933174212736061,4,broadcast,
8,4,"[1540.6839599609375, 718.052490234375, 1613.955810546875, 839.72607421875]",0.9152621030807495,"[0.82109375, 0.7208333333333333]",0.8682178019293034,4,broadcast,
8,0,"[808.9072875976562, 565.797119140625, 876.1416015625, 666.2454833984375]",0.9147713780403137,"[0.43854166666666666, 0.5699074074074074]",0.9682216212657699,9,broadcast,
8,1,"[898.1043090820312, 578.2870483398438, 951.9391479492188, 666.772216796875]",0.9066061973571777,"[0.48151041666666666, 0.575925925925926]",0.9823653588492308,6,broadcast,
8,11,"[1244.50927734375, 463.9549560546875, 1295.0389404296875, 558.4017333984375]",0.9052070379257202,"[0.6611979166666667, 0.4726851851851852]",0.9783803010175971,3,broadcast,
8,10,"[1568.8194580078125, 568.5160522460938, 1653.614501953125, 661.3694458007812]",0.8929402828216553,"[0.8388020833333333, 0.5689814814814815]",0.8833660072799248,4,broadcast,
8,7,"[839.900634765625, 616.3658447265625, 892.1543579101562, 725.3339233398438]",0.8900557160377502,"[0.45078125, 0.6208333333333333]",0.9734338564817026,4,broadcast,
8,9,"[1662.81591796875, 450.2106018066406, 1701.510498046875, 531.8134765625]",0.8822416067123413,"[0.87578125, 0.45416666666666666]",0.8712868158026177,4,broadcast,
8,2,"[1484.8770751953125, 428.4555358886719, 1530.00634765625, 513.8705444335938]",0.8654313683509827,"[0.7848958333333333, 0.4356481481481482]",0.9678326222540616,9,broadcast,
8,6,"[1552.0308837890625, 490.60504150390625, 1618.907958984375, 587.5231323242188]",0.8421838283538818,"[0.8255208333333334, 0.4986111111111111]",0.8745423232363334,4,broadcast,
8,12,"[0.05864238739013672, 505.0790710449219, 41.11273956298828, 610.4755859375]",0.6760829091072083,"[0.010677083333333334, 0.5162037037037037]",0.8843773036419099,2,broadcast,
8,3,"[1497.788818359375, 402.17816162109375, 1536.787353515625, 447.8887023925781]",0.3179822266101837,"[0.78984375, 0.39305555555555555]",0.5490177193319137,5,broadcast,
9,4,"[1536.734619140625, 721.3489379882812, 1642.204833984375, 845.4100341796875]",0.9214649796485901,"[0.8276041666666667, 0.725]",0.8733767807405544,5,broadcast,
9,0,"[817.6182861328125, 570.650634765625, 878.0013427734375, 670.8637084960938]",0.9069094657897949,"[0.44140625, 0.5740740740740741]",0.9707846774899714,10,broadcast,
9,5,"[616.2120361328125, 752.145263671875, 668.4437866210938, 880.4366455078125]",0.903045117855072,"[0.334375, 0.7555555555555555]",0.8091538677680805,5,broadcast,
9,9,"[1664.7525634765625, 452.3114318847656, 1699.37890625, 534.2630004882812]",0.8992465734481812,"[0.87578125, 0.4564814814814815]",0.8850334412797614,5,broadcast,
9,11,"[1250.5533447265625, 464.8100280761719, 1307.728759765625, 559.611572265625]",0.8958069086074829,"[0.6658854166666667, 0.4736111111111111]",0.9798821002944924,4,broadcast,
9,1,"[897.7628173828125, 577.5267333984375, 956.189208984375, 665.8936157226562]",0.8879802227020264,"[0.4825520833333333, 0.575]",0.957534309573238,7,broadcast,
9,10,"[1578.70654296875, 566.310791015625, 1640.9228515625, 664.4060668945312]",0.8872870802879333,"[0.8380208333333333, 0.5694444444444444]",0.8681038668015013,5,broadcast,
9,8,"[1755.6419677734375, 594.001708984375, 1823.3902587890625, 700.453369140625]",0.8853731751441956,"[0.9317708333333333, 0.5990740740740741]",0.9728595578879775,5,broadcast,
9,7,"[844.181396484375, 613.6377563476562, 897.603515625, 727.4669189453125]",0.8779076933860779,"[0.45338541666666665, 0.6203703703703703]",0.8847450052049264,5,broadcast,
9,2,"[1497.2237548828125, 431.60589599609375, 1531.3717041015625, 515.6798706054688]",0.8660465478897095,"[0.7885416666666667, 0.43796296296296294]",0.9615480484428511,10,broadcast,
9,6,"[1563.09814453125, 497.20916748046875, 1601.7802734375, 588.804443359375]",0.8593044281005859,"[0.8239583333333333, 0.5023148148148148]",0.7948415975007156,5,broadcast,
9,12,"[14.137893676757812, 505.304443359375, 55.32267379760742, 611.9741821289062]",0.5339900851249695,"[0.01796875, 0.5166666666666667]",0.9251341193596141,3,broadcast,
9,3,"[1521.238037109375, 406.5315856933594, 1553.6890869140625, 450.4560241699219]",0.41123270988464355,"[0.8005208333333333, 0.3962962962962963]",0.7674826947624211,6,broadcast,
10,11,"[1255.9820556640625, 466.1677551269531, 1317.6702880859375, 559.33984375]",0.919333279132843,"[0.6697916666666667, 0.47453703703703703]",0.9818715151660756,5,broadcast,
