frame,view,player_id,bbox,confidence,position,match_similarity,aligned_position
0,broadcast,0,"[1423.9808349609375, 741.0142822265625, 1494.8370361328125, 911.8927001953125]",0.8263508677482605,"[0.7596354166666667, 0.7648148148148148]",0.4690478331660995,
0,tacticam,0,"[1131.9434814453125, 344.3498840332031, 1168.1370849609375, 403.0037841796875]",0.9177446365356445,"[0.5986979166666667, 0.3458333333333333]",0.4690478331660995,"[0.749950909381314, 0.6270628885319796]"
0,broadcast,1,"[1359.669677734375, 436.58990478515625, 1437.8201904296875, 525.861328125]",0.7145752310752869,"[0.728125, 0.4449074074074074]",0.6471266770058998,
0,tacticam,1,"[734.607666015625, 346.4084167480469, 771.8661499023438, 403.34765625]",0.9099704623222351,"[0.3919270833333333, 0.34675925925925927]",0.6471266770058998,"[0.7142550657141461, 0.4233944285263357]"
0,broadcast,2,"[1298.427734375, 263.8616943359375, 1335.673583984375, 315.2360534667969]",0.5605174899101257,"[0.6856770833333333, 0.2675925925925926]",0.6404509410973644,
0,tacticam,2,"[361.38775634765625, 377.6200866699219, 391.5140075683594, 433.7073059082031]",0.9112020134925842,"[0.19583333333333333, 0.375]",0.6404509410973644,"[0.6534297657221989, 0.2348458111685363]"
0,tacticam,3,"[314.7106018066406, 526.3877563476562, 366.62127685546875, 590.484375]",0.9257323741912842,"[0.17708333333333334, 0.5166666666666667]",0.0,"[0.5106278013655384, 0.24019426144160982]"
0,tacticam,4,"[1716.98193359375, 320.9930419921875, 1748.407958984375, 383.62042236328125]",0.9226104021072388,"[0.9020833333333333, 0.32546296296296295]",0.0,"[0.8210666647803105, 0.9226981576881867]"
0,tacticam,5,"[1133.8824462890625, 480.1352233886719, 1175.4642333984375, 543.6372680664062]",0.9221810698509216,"[0.6010416666666667, 0.4736111111111111]",0.0,"[0.6243883117636504, 0.6508680925301471]"
0,tacticam,6,"[928.7545166015625, 197.8041229248047, 967.4329833984375, 247.40359497070312]",0.9200133085250854,"[0.4934895833333333, 0.20555555555555555]",0.0,"[0.8705314327035336, 0.4997562283119068]"
0,tacticam,7,"[901.7882690429688, 573.5625, 942.302001953125, 639.1196899414062]",0.9186127185821533,"[0.47994791666666664, 0.5611111111111111]",0.0,"[0.5177647786482835, 0.5462193062253897]"
0,tacticam,8,"[1659.0673828125, 461.4771423339844, 1695.85693359375, 524.0096435546875]",0.9137505888938904,"[0.8734375, 0.45601851851851855]",0.0,"[0.6875527882831877, 0.9164226787031274]"
0,tacticam,9,"[1298.1632080078125, 810.6082763671875, 1329.3134765625, 889.030517578125]",0.912670373916626,"[0.6841145833333333, 0.7865740740740741]",0.0,"[0.3298598420197431, 0.7854039843225463]"
0,tacticam,10,"[342.1475830078125, 804.6087036132812, 377.6358947753906, 878.0248413085938]",0.910926342010498,"[0.18723958333333332, 0.7787037037037037]",0.0,"[0.2540334461908741, 0.29428580501091617]"
0,tacticam,11,"[289.35552978515625, 446.2795104980469, 316.5237121582031, 513.7173461914062]",0.9100836515426636,"[0.15755208333333334, 0.4439814814814815]",0.0,"[0.5789916187547606, 0.20871419879967307]"
0,tacticam,12,"[771.741943359375, 396.64227294921875, 801.509033203125, 456.0601806640625]",0.9091854691505432,"[0.409375, 0.39444444444444443]",0.0,"[0.6701845231363511, 0.4486153317427374]"
0,tacticam,13,"[936.4390869140625, 268.3320007324219, 959.7705688476562, 326.796630859375]",0.9076782464981079,"[0.4934895833333333, 0.275]",0.0,"[0.8020766149649913, 0.511438214126848]"
0,tacticam,14,"[1026.1103515625, 147.00990295410156, 1051.0133056640625, 194.89573669433594]",0.9073315858840942,"[0.5408854166666667, 0.15787037037037038]",0.0,"[0.9255100295360299, 0.5384550111588691]"
0,tacticam,15,"[848.63525390625, 237.73471069335938, 890.16943359375, 289.1633605957031]",0.9069505929946899,"[0.45260416666666664, 0.24351851851851852]",0.0,"[0.8262316965245838, 0.46583960661384116]"
0,tacticam,16,"[446.5901184082031, 211.4666748046875, 482.79931640625, 266.11431884765625]",0.9036909341812134,"[0.24166666666666667, 0.22083333333333333]",0.0,"[0.813109571739624, 0.25409198236680486]"
0,tacticam,17,"[1473.2457275390625, 224.51751708984375, 1504.3656005859375, 272.1214599609375]",0.8906233906745911,"[0.7752604166666667, 0.22962962962962963]",0.0,"[0.8942000866649626, 0.7815614063685552]"
0,tacticam,18,"[562.4352416992188, 95.3843994140625, 590.1070556640625, 142.60523986816406]",0.7681193947792053,"[0.3, 0.10972222222222222]",0.0,"[0.9324501482058422, 0.2929028519632746]"
0,tacticam,19,"[888.771240234375, 149.9224853515625, 917.958984375, 191.19822692871094]",0.7430939674377441,"[0.4700520833333333, 0.1574074074074074]",0.0,"[0.9140507694563802, 0.46855321716012294]"
0,tacticam,20,"[903.8831787109375, 158.3180694580078, 939.007568359375, 206.19786071777344]",0.7301800847053528,"[0.4796875, 0.1685185185185185]",0.0,"[0.9047188741500366, 0.47992044085173624]"
0,tacticam,21,"[468.4519958496094, 75.67778778076172, 500.0140686035156, 120.09361267089844]",0.4198336601257324,"[0.2520833333333333, 0.09027777777777778]",0.0,"[0.9435569269603246, 0.24239807169549688]"
1,broadcast,22,"[1426.8314208984375, 675.1950073242188, 1499.227294921875, 829.3086547851562]",0.776533305644989,"[0.76171875, 0.6962962962962963]",0.5507947599944479,
1,tacticam,22,"[1130.87841796875, 345.46295166015625, 1168.0572509765625, 403.7745666503906]",0.9123653173446655,"[0.5984375, 0.34629629629629627]",0.5507947599944479,"[0.7537870161973632, 0.6176675791818211]"
1,broadcast,23,"[1279.641845703125, 260.1755065917969, 1332.8101806640625, 328.4617614746094]",0.3413422107696533,"[0.6799479166666667, 0.2722222222222222]",0.5956597996126345,
1,tacticam,23,"[361.68292236328125, 376.3792419433594, 395.861572265625, 432.3483581542969]",0.9188981056213379,"[0.196875, 0.37407407407407406]",0.5956597996126345,"[0.6357565891625665, 0.2328392218086865]"
1,tacticam,24,"[900.1021728515625, 575.856689453125, 932.549560546875, 639.4962158203125]",0.9258955121040344,"[0.47708333333333336, 0.562037037037037]",0.0,"[0.5161626860891309, 0.5483452976026755]"
1,tacticam,25,"[315.9598693847656, 526.212158203125, 365.1148986816406, 591.545654296875]",0.9255099892616272,"[0.17708333333333334, 0.5171296296296296]",0.0,"[0.4919367729568928, 0.24597172009801954]"
1,tacticam,26,"[768.233642578125, 392.6886291503906, 802.4716186523438, 456.0570373535156]",0.9231193661689758,"[0.4088541666666667, 0.3925925925925926]",0.0,"[0.6657439335772508, 0.4435021321744418]"
1,tacticam,27,"[1712.4837646484375, 320.6449279785156, 1750.6649169921875, 384.084228515625]",0.9160159230232239,"[0.9015625, 0.32592592592592595]",0.0,"[0.8423013959249462, 0.9082960743358018]"
1,tacticam,28,"[445.39801025390625, 209.5908966064453, 480.5263366699219, 265.7901611328125]",0.9152284860610962,"[0.24088541666666666, 0.21944444444444444]",0.0,"[0.7963363550006634, 0.2406736291220714]"
1,tacticam,29,"[1133.2940673828125, 479.6400146484375, 1173.664306640625, 543.1668090820312]",0.9151715636253357,"[0.6005208333333333, 0.47314814814814815]",0.0,"[0.630705422384449, 0.6484353197633903]"
1,tacticam,30,"[929.7548217773438, 199.02809143066406, 964.6393432617188, 246.66600036621094]",0.9148641228675842,"[0.49296875, 0.20601851851851852]",0.0,"[0.8665232468884643, 0.48316087134017877]"
1,tacticam,31,"[1660.6171875, 461.6528625488281, 1698.611572265625, 524.2290649414062]",0.911170482635498,"[0.8744791666666667, 0.45601851851851855]",0.0,"[0.7094555490789635, 0.9113897077465993]"
1,tacticam,32,"[732.6618041992188, 346.2224426269531, 771.7135620117188, 402.73638916015625]",0.9092860817909241,"[0.39140625, 0.34629629629629627]",0.0,"[0.7068836149280275, 0.4160193472879358]"
1,tacticam,33,"[289.0174255371094, 446.27288818359375, 316.9189453125, 512.82861328125]",0.9092201590538025,"[0.15755208333333334, 0.44351851851851853]",0.0,"[0.5592090728983663, 0.21027153709905905]"
1,tacticam,34,"[338.37554931640625, 802.35791015625, 375.5091552734375, 878.102783203125]",0.9091663360595703,"[0.18567708333333333, 0.7777777777777778]",0.0,"[0.2400126691521231, 0.3133924557383634]"
1,tacticam,35,"[847.9220581054688, 239.04205322265625, 885.3942260742188, 290.6305847167969]",0.9087154865264893,"[0.4510416666666667, 0.2449074074074074]",0.0,"[0.8191468314999737, 0.45113430017200923]"
1,tacticam,36,"[1474.5911865234375, 224.34292602539062, 1504.5091552734375, 272.4620666503906]",0.9035527110099792,"[0.7755208333333333, 0.22962962962962963]",0.0,"[0.9075388661993871, 0.7637154709040597]"
1,tacticam,37,"[937.224609375, 268.4029541015625, 957.7686767578125, 326.8589172363281]",0.9025527834892273,"[0.49322916666666666, 0.275]",0.0,"[0.7993943504211548, 0.4990424286725535]"
1,tacticam,38,"[1303.365478515625, 810.6135864257812, 1326.2032470703125, 889.4212646484375]",0.8973841667175293,"[0.6846354166666667, 0.7865740740740741]",0.0,"[0.344485232253826, 0.8013701978437495]"
1,tacticam,39,"[1021.6653442382812, 146.40399169921875, 1044.142822265625, 195.6903076171875]",0.8081051111221313,"[0.5377604166666666, 0.15787037037037038]",0.0,"[0.92356714947915, 0.5158798375539536]"
1,tacticam,40,"[886.2328491210938, 149.91952514648438, 915.5451049804688, 191.78160095214844]",0.8003474473953247,"[0.46901041666666665, 0.1574074074074074]",0.0,"[0.9084426058445394, 0.44881252051689136]"
1,tacticam,41,"[464.97784423828125, 74.2408447265625, 497.5124816894531, 118.71929168701172]",0.7993642687797546,"[0.25026041666666665, 0.08888888888888889]",0.0,"[0.9256212640595698, 0.22022721131723233]"
1,tacticam,42,"[904.6370239257812, 160.30477905273438, 937.7130126953125, 206.61087036132812]",0.7898447513580322,"[0.47942708333333334, 0.16944444444444445]",0.0,"[0.8990784632853646, 0.46168536166431867]"
1,tacticam,43,"[562.7481689453125, 95.2323989868164, 584.9757080078125, 142.914794921875]",0.7795777916908264,"[0.2984375, 0.10972222222222222]",0.0,"[0.9162442460511626, 0.2718714817598935]"
